,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
61,,#052,Meowth,Dark,0,Yellow,Pickup,TechnicianMeowth,UnnerveMeowth and Galarian Meowth ,1,0.4,4.2,40,45,35,40,40,90,290
62,,#052,Meowth,Steel,0,Yellow,Pickup,TechnicianMeowth,UnnerveMeowth and Galarian Meowth ,1,0.4,4.2,40,45,35,40,40,90,290
63,#053,#053,Persian,Normal,0,Yellow,Limber,TechnicianPersian,UnnervePersian ,1,1.0,32.0,65,70,60,65,65,115,440
64,,#053,Persian,Dark,0,Yellow,Limber,TechnicianPersian,UnnervePersian ,1,1.0,32.0,65,70,60,65,65,115,440
65,#054,#054,Psyduck,Water,0,Yellow,Damp,Cloud Nine,Swift Swim ,1,0.8,19.6,50,52,48,65,50,55,320
66,#055,#055,Golduck,Water,0,Blue,Damp,Cloud Nine,Swift Swim ,1,1.7,76.6,80,82,78,95,80,85,500
67,#056,#056,Mankey,Fighting,0,Brown,Vital Spirit,Anger Point,Defiant ,1,0.5,28.0,40,80,35,35,45,70,305
68,#057,#057,Primeape,Fighting,0,Brown,Vital Spirit,Anger Point,Defiant ,1,1.0,32.0,65,105,60,60,70,95,455
69,#058,#058,Growlithe,Fire,0,Brown,Intimidate,Flash Fire,Justified ,1,0.7,19.0,55,70,45,70,50,60,350
70,,#058,Growlithe,Fire,Rock,Brown,Intimidate,Flash Fire,Justified ,1,0.7,19.0,55,70,45,70,50,60,350
71,#059,#059,Arcanine,Fire,0,Brown,Intimidate,Flash Fire,Justified ,1,1.9,155.0,90,110,80,100,80,95,555
72,,#059,Arcanine,Fire,Rock,Brown,Intimidate,Flash Fire,Justified ,1,1.9,155.0,90,110,80,100,80,95,555
73,#060,#060,Poliwag,Water,0,Blue,Water Absorb,Damp,Swift Swim ,1,0.6,12.4,40,50,40,40,40,90,300
74,#061,#061,Poliwhirl,Water,0,Blue,Water Absorb,Damp,Swift Swim ,1,1.0,20.0,65,65,65,50,50,90,385
75,#062,#062,Poliwrath,Water,Fighting,Blue,Water Absorb,Damp,Swift Swim ,1,1.3,54.0,90,85,95,70,90,70,500
76,#063,#063,Abra,Psychic,0,Brown,Synchronize,Inner Focus,Magic Guard ,1,0.9,19.5,25,20,15,105,55,90,310
77,#064,#064,Kadabra,Psychic,0,Brown,Synchronize,Inner Focus,Magic Guard ,1,1.3,56.5,40,35,30,120,70,105,400
78,#065,#065,Alakazam,Psychic,0,Brown,Synchronize,Inner FocusAlakazam,Magic Guard ,1,1.5,48.0,55,50,45,135,85,120,490
79,#066,#066,Machop,Fighting,0,Gray,Guts,No Guard,Steadfast ,1,0.8,19.5,70,80,50,35,35,35,305
80,#067,#067,Machoke,Fighting,0,Gray,Guts,No Guard,Steadfast ,1,1.5,70.5,80,100,70,50,60,45,405
81,#068,#068,Machamp,Fighting,0,Gray,Guts,No Guard,Steadfast ,1,1.6,130.0,90,130,80,65,85,55,505
82,#069,#069,Bellsprout,Grass,Poison,Green,Chlorophyll,0,Gluttony ,1,0.7,4.0,50,75,35,70,30,40,300
83,#070,#070,Weepinbell,Grass,Poison,Green,Chlorophyll,0,Gluttony ,1,1.0,6.4,65,90,50,85,45,55,390
84,#071,#071,Victreebel,Grass,Poison,Green,Chlorophyll,0,Gluttony ,1,1.7,15.5,80,105,65,100,60,70,480
85,#072,#072,Tentacool,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain Dish ,1,0.9,45.5,40,40,35,50,100,70,335
86,#073,#073,Tentacruel,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain Dish ,1,1.6,55.0,80,70,65,80,120,100,515
87,#074,#074,Geodude,Rock,Ground,Brown,Rock Head,SturdyGeodude,Sand VeilGeodude ,1,0.4,20.0,40,80,100,30,30,20,300
88,,#074,Geodude,Rock,Electric,Brown,Rock Head,SturdyGeodude,Sand VeilGeodude ,1,0.4,20.0,40,80,100,30,30,20,300
89,#075,#075,Graveler,Rock,Ground,Brown,Rock Head,SturdyGraveler,Sand VeilGraveler ,1,1.0,105.0,55,95,115,45,45,35,390
90,,#075,Graveler,Rock,Electric,Brown,Rock Head,SturdyGraveler,Sand VeilGraveler ,1,1.0,105.0,55,95,115,45,45,35,390
91,#076,#076,Golem,Rock,Ground,Brown,Rock Head,SturdyGolem,Sand VeilGolem ,1,1.4,300.0,80,110,130,55,65,45,485
92,,#076,Golem,Rock,Electric,Brown,Rock Head,SturdyGolem,Sand VeilGolem ,1,1.4,300.0,80,110,130,55,65,45,485
93,#077,#077,Ponyta,Fire,0,Yellow,Run Away,Flash FirePonyta,Flame BodyPonyta ,1,1.0,30.0,50,85,55,65,65,90,410
94,,#077,Ponyta,Psychic,0,Yellow,Run Away,Flash FirePonyta,Flame BodyPonyta ,1,1.0,30.0,50,85,55,65,65,90,410
95,#078,#078,Rapidash,Fire,0,Yellow,Run Away,Flash FireRapidash,Flame BodyRapidash ,1,1.7,95.0,65,100,70,80,80,105,500
96,,#078,Rapidash,Psychic,Fairy,Yellow,Run Away,Flash FireRapidash,Flame BodyRapidash ,1,1.7,95.0,65,100,70,80,80,105,500
97,#079,#079,Slowpoke,Water,Psychic,Pink,Oblivious,Own TempoSlowpoke,Regenerator ,1,1.2,36.0,90,65,65,40,40,15,315
98,,#079,Slowpoke,Psychic,0,Pink,Oblivious,Own TempoSlowpoke,Regenerator ,1,1.2,36.0,90,65,65,40,40,15,315
99,#080,#080,Slowbro,Water,Psychic,Pink,Oblivious,Own TempoSlowbro,Regenerator ,1,1.6,78.5,95,75,110,100,80,30,490
100,,#080,Slowbro,Poison,Psychic,Pink,Oblivious,Own TempoSlowbro,Regenerator ,1,1.6,78.5,95,75,110,100,80,30,490
101,#081,#081,Magnemite,Electric,Steel,Gray,Magnet Pull,Sturdy,Analytic ,1,0.3,6.0,25,35,70,95,55,45,325
102,#082,#082,Magneton,Electric,Steel,Gray,Magnet Pull,Sturdy,Analytic ,1,1.0,60.0,50,60,95,120,70,70,465
103,#083,#083,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner FocusFarfetch'd,DefiantFarfetch'd ,1,0.8,15.0,52,65,55,58,62,60,352
104,,#083,Farfetch'd,Fighting,0,Brown,Keen Eye,Inner FocusFarfetch'd,DefiantFarfetch'd ,1,0.8,15.0,52,65,55,58,62,60,352
105,#084,#084,Doduo,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet ,1,1.4,39.2,35,85,45,35,35,75,310
106,#085,#085,Dodrio,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet ,1,1.8,85.2,60,110,70,60,60,100,460
107,#086,#086,Seel,Water,0,White,Thick Fat,Hydration,Ice Body ,1,1.1,90.0,65,45,55,45,70,45,325
108,#087,#087,Dewgong,Water,Ice,White,Thick Fat,Hydration,Ice Body ,1,1.7,120.0,90,70,80,70,95,70,475
109,#088,#088,Grimer,Poison,0,Purple,Stench,Sticky HoldGrimer,Poison TouchGrimer ,1,0.9,30.0,80,80,50,40,50,25,325
110,,#088,Grimer,Poison,Dark,Purple,Stench,Sticky HoldGrimer,Poison TouchGrimer ,1,0.9,30.0,80,80,50,40,50,25,325
111,#089,#089,Muk,Poison,0,Purple,Stench,Sticky HoldMuk,Poison TouchMuk ,1,1.2,30.0,105,105,75,65,100,50,500
112,,#089,Muk,Poison,Dark,Purple,Stench,Sticky HoldMuk,Poison TouchMuk ,1,1.2,30.0,105,105,75,65,100,50,500
113,#090,#090,Shellder,Water,0,Purple,Shell Armor,Skill Link,Overcoat ,1,0.3,4.0,30,65,100,45,25,40,305
114,#091,#091,Cloyster,Water,Ice,Purple,Shell Armor,Skill Link,Overcoat ,1,1.5,132.5,50,95,180,85,45,70,525
115,#092,#092,Gastly,Ghost,Poison,Purple,0,0,Cacophony ,1,1.3,0.1,30,35,30,100,35,80,310
116,#093,#093,Haunter,Ghost,Poison,Purple,0,0,Cacophony ,1,1.6,0.1,45,50,45,115,55,95,405
117,#094,#094,Gengar,Ghost,Poison,Purple,Cursed BodyGengar,0,Cacophony ,1,1.5,40.5,60,65,60,130,75,110,500
118,#095,#095,Onix,Rock,Ground,Gray,Rock Head,Sturdy,Weak Armor ,1,8.8,210.0,35,45,160,30,45,70,385
119,#096,#096,Drowzee,Psychic,0,Yellow,Insomnia,Forewarn,Inner Focus ,1,1.0,32.4,60,48,45,43,90,42,328
120,#097,#097,Hypno,Psychic,0,Yellow,Insomnia,Forewarn,Inner Focus ,1,1.6,75.6,85,73,70,73,115,67,483
121,#098,#098,Krabby,Water,0,Red,Hyper Cutter,Shell Armor,Sheer Force ,1,0.4,6.5,30,105,90,25,25,50,325
122,#099,#099,Kingler,Water,0,Red,Hyper Cutter,Shell Armor,Sheer Force ,1,1.3,60.0,55,130,115,50,50,75,475
123,#100,#100,Voltorb,Electric,0,Red,Soundproof,Static,Aftermath ,1,0.5,10.4,40,30,50,55,55,100,330
124,,#100,Voltorb,Electric,Grass,Red,Soundproof,Static,Aftermath ,1,0.5,10.4,40,30,50,55,55,100,330
125,#101,#101,Electrode,Electric,0,Red,Soundproof,Static,Aftermath ,1,1.2,66.6,60,50,70,80,80,140,480
126,,#101,Electrode,Electric,Grass,Red,Soundproof,Static,Aftermath ,1,1.2,66.6,60,50,70,80,80,140,480
127,#102,#102,Exeggcute,Grass,Psychic,Pink,Chlorophyll,0,Harvest ,1,0.4,2.5,60,40,80,60,45,40,325
128,#103,#103,Exeggutor,Grass,Psychic,Yellow,ChlorophyllExeggutor,0,Harvest ,1,2.0,120.0,95,95,85,125,65,55,520
129,,#103,Exeggutor,Grass,Dragon,Yellow,ChlorophyllExeggutor,0,Harvest ,1,2.0,120.0,95,95,85,125,65,55,520
130,#104,#104,Cubone,Ground,0,Brown,Rock Head,Lightning Rod,Battle Armor ,1,0.4,6.5,50,50,95,40,50,35,320
131,#105,#105,Marowak,Ground,0,Brown,Rock Head,Lightning RodMarowak,Battle ArmorMarowak ,1,1.0,45.0,60,80,110,50,80,45,425
132,,#105,Marowak,Fire,Ghost,Brown,Rock Head,Lightning RodMarowak,Battle ArmorMarowak ,1,1.0,45.0,60,80,110,50,80,45,425
133,#106,#106,Hitmonlee,Fighting,0,Brown,Limber,Reckless,Unburden ,1,1.5,49.8,50,120,53,35,110,87,455
134,#107,#107,Hitmonchan,Fighting,0,Brown,Keen Eye,Iron Fist,Inner Focus ,1,1.4,50.2,50,105,79,35,110,76,455
135,#108,#108,Lickitung,Normal,0,Pink,Own Tempo,Oblivious,Cloud Nine ,1,1.2,65.5,90,55,75,60,75,30,385
136,#109,#109,Koffing,Poison,0,Purple,Levitate,Neutralizing Gas,StenchGen VIII+ ,1,0.6,1.0,40,65,95,60,45,35,340
137,#110,#110,Weezing,Poison,0,Purple,Levitate,Neutralizing Gas,StenchGen VIII+ Weezing ,1,1.2,9.5,65,90,120,85,70,60,490
138,,#110,Weezing,Poison,Fairy,Purple,Levitate,Neutralizing Gas,StenchGen VIII+ Weezing ,1,1.2,9.5,65,90,120,85,70,60,490
139,#111,#111,Rhyhorn,Ground,Rock,Gray,Lightning Rod,Rock Head,Reckless ,1,1.0,115.0,80,85,95,30,30,25,345
140,#112,#112,Rhydon,Ground,Rock,Gray,Lightning Rod,Rock Head,Reckless ,1,1.9,120.0,105,130,120,45,45,40,485
141,#113,#113,Chansey,Normal,0,Pink,Natural Cure,Serene Grace,Healer ,1,1.1,34.6,250,5,5,35,105,50,450
142,#114,#114,Tangela,Grass,0,Blue,Chlorophyll,Leaf Guard,Regenerator ,1,1.0,35.0,65,55,115,100,40,60,435
143,#115,#115,Kangaskhan,Normal,0,Brown,Early Bird,ScrappyKangaskhan,Inner Focus ,1,2.2,80.0,105,95,80,40,80,90,490
144,#116,#116,Horsea,Water,0,Blue,Swift Swim,Sniper,Damp ,1,0.4,8.0,30,40,70,70,25,60,295
145,#117,#117,Seadra,Water,0,Blue,Poison Point,Sniper,Damp ,1,1.2,25.0,55,65,95,95,45,85,440
146,#118,#118,Goldeen,Water,0,Red,Swift Swim,Water Veil,Lightning Rod ,1,0.6,15.0,45,67,60,35,50,63,320
147,#119,#119,Seaking,Water,0,Red,Swift Swim,Water Veil,Lightning Rod ,1,1.3,39.0,80,92,65,65,80,68,450
148,#120,#120,Staryu,Water,0,Brown,Illuminate,Natural Cure,Analytic ,1,0.8,34.5,30,45,55,70,55,85,340
149,#121,#121,Starmie,Water,Psychic,Purple,Illuminate,Natural Cure,Analytic ,1,1.1,80.0,60,75,85,100,85,115,520
150,#122,#122,Mr. Mime,Psychic,Fairy,Pink,Soundproof,FilterMr. Mime,TechnicianMr. Mime ,1,1.3,54.5,40,45,65,100,120,90,460
151,,#122,Mr. Mime,Ice,Psychic,Pink,Soundproof,FilterMr. Mime,TechnicianMr. Mime ,1,1.3,54.5,40,45,65,100,120,90,460
152,#123,#123,Scyther,Bug,Flying,Green,Swarm,Technician,Steadfast ,1,1.5,56.0,70,110,80,55,80,105,500
153,#124,#124,Jynx,Ice,Psychic,Red,Oblivious,Forewarn,Dry Skin ,1,1.4,40.6,65,50,35,115,95,95,455
154,#125,#125,Electabuzz,Electric,0,Yellow,Static,0,Vital Spirit ,1,1.1,30.0,65,83,57,95,85,105,490
155,#126,#126,Magmar,Fire,0,Red,Flame Body,0,Vital Spirit ,1,1.3,44.5,65,95,57,100,85,93,495
156,#127,#127,Pinsir,Bug,0,Brown,Hyper Cutter,Mold BreakerPinsir,Moxie ,1,1.5,55.0,65,125,100,55,70,85,500
157,#128,#128,Tauros,Normal,0,Brown,Intimidate,Anger Point,Sheer Force ,1,1.4,88.4,75,100,95,40,70,110,490
158,#129,#129,Magikarp,Water,0,Red,Swift Swim,0,Rattled ,1,0.9,10.0,20,10,55,15,20,80,200
159,#130,#130,Gyarados,Water,Flying,Blue,IntimidateGyarados,0,Moxie ,1,6.5,235.0,95,125,79,60,100,81,540
160,#131,#131,Lapras,Water,Ice,Blue,Water Absorb,Shell Armor,Hydration ,1,2.5,220.0,130,85,80,85,95,60,535
161,#132,#132,Ditto,Normal,0,Purple,Limber,0,Imposter ,1,0.3,4.0,48,48,48,48,48,48,288
162,#133,#133,Eevee,Normal,0,Brown,Run Away,Adaptability,Anticipation ,1,0.3,6.5,55,55,50,45,65,55,325
163,#134,#134,Vaporeon,Water,0,Blue,Water Absorb,0,Hydration ,1,1.0,29.0,130,65,60,110,95,65,525
164,#135,#135,Jolteon,Electric,0,Yellow,Volt Absorb,0,Quick Feet ,1,0.8,24.5,65,65,60,110,95,130,525
165,#136,#136,Flareon,Fire,0,Red,Flash Fire,0,Guts ,1,0.9,25.0,65,130,60,95,110,65,525
166,#137,#137,Porygon,Normal,0,Pink,Trace,Download,Analytic ,1,0.8,36.5,65,60,70,85,75,40,395
167,#138,#138,Omanyte,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor ,1,0.4,7.5,35,40,100,90,55,35,355
168,#139,#139,Omastar,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor ,1,1.0,35.0,70,60,125,115,70,55,495
169,#140,#140,Kabuto,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor ,1,0.5,11.5,30,80,90,55,45,55,355
170,#141,#141,Kabutops,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor ,1,1.3,40.5,60,115,105,65,70,80,495
171,#142,#142,Aerodactyl,Rock,Flying,Purple,Rock Head,PressureAerodactyl,Unnerve ,1,1.8,59.0,80,105,65,60,75,130,515
172,#143,#143,Snorlax,Normal,0,Black,Immunity,Thick Fat,Gluttony ,1,2.1,460.0,160,110,65,65,110,30,540
173,#144,#144,Articuno,Ice,Flying,Blue,PressureArticuno,0,Snow CloakArticuno ,1,1.7,55.4,90,85,100,95,125,85,580
174,,#144,Articuno,Psychic,Flying,Blue,PressureArticuno,0,Snow CloakArticuno ,1,1.7,55.4,90,85,100,95,125,85,580
175,#145,#145,Zapdos,Electric,Flying,Yellow,PressureZapdos,0,StaticZapdos ,1,1.6,52.6,90,90,85,125,90,100,580
176,,#145,Zapdos,Fighting,Flying,Yellow,PressureZapdos,0,StaticZapdos ,1,1.6,52.6,90,90,85,125,90,100,580
177,#146,#146,Moltres,Fire,Flying,Yellow,PressureMoltres,0,Flame BodyMoltres ,1,2.0,60.0,90,100,90,125,85,90,580
178,,#146,Moltres,Dark,Flying,Yellow,PressureMoltres,0,Flame BodyMoltres ,1,2.0,60.0,90,100,90,125,85,90,580
179,#147,#147,Dratini,Dragon,0,Blue,Shed Skin,0,Marvel Scale ,1,1.8,3.3,41,64,45,50,50,50,300
180,#148,#148,Dragonair,Dragon,0,Blue,Shed Skin,0,Marvel Scale ,1,4.0,16.5,61,84,65,70,70,70,420
181,#149,#149,Dragonite,Dragon,Flying,Brown,Inner Focus,0,Multiscale ,1,2.2,210.0,91,134,95,100,100,80,600
182,#150,#150,Mewtwo,Psychic,0,Purple,PressureMewtwo,0,Unnerve ,1,2.0,122.0,106,110,90,154,90,130,680
183,#151,#151,Mew,Psychic,0,Pink,0,0,Cacophony ,1,0.4,4.0,100,100,100,100,100,100,600
184,#001,#152,Chikorita,Grass,0,Green,Overgrow,0,Leaf Guard ,2,0.9,6.4,45,49,65,49,65,45,318
185,#002,#153,Bayleef,Grass,0,Green,Overgrow,0,Leaf Guard ,2,1.2,15.8,60,62,80,63,80,60,405
186,#003,#154,Meganium,Grass,0,Green,Overgrow,0,Leaf Guard ,2,1.8,100.5,80,82,100,83,100,80,525
187,#004,#155,Cyndaquil,Fire,0,Yellow,Blaze,0,Flash Fire ,2,0.5,7.9,39,52,43,60,50,65,309
188,#005,#156,Quilava,Fire,0,Yellow,Blaze,0,Flash Fire ,2,0.9,19.0,58,64,58,80,65,80,405
189,#006,#157,Typhlosion,Fire,0,Yellow,Blaze,0,Flash Fire ,2,1.7,79.5,78,84,78,109,85,100,534
190,,#157,Typhlosion,Fire,Ghost,Yellow,Blaze,0,Flash Fire ,2,1.7,79.5,78,84,78,109,85,100,534
191,#007,#158,Totodile,Water,0,Blue,Torrent,0,Sheer Force ,2,0.6,9.5,50,65,64,44,48,43,314
192,#008,#159,Croconaw,Water,0,Blue,Torrent,0,Sheer Force ,2,1.1,25.0,65,80,80,59,63,58,405
193,#009,#160,Feraligatr,Water,0,Blue,Torrent,0,Sheer Force ,2,2.3,88.8,85,105,100,79,83,78,530
194,#019,#161,Sentret,Normal,0,Brown,Run Away,Keen Eye,Frisk ,2,0.8,6.0,35,46,34,35,45,20,215
195,#020,#162,Furret,Normal,0,Brown,Run Away,Keen Eye,Frisk ,2,1.8,32.5,85,76,64,45,55,90,415
196,#015,#163,Hoothoot,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens ,2,0.7,21.2,60,30,30,36,56,50,262
197,#016,#164,Noctowl,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens ,2,1.6,40.8,100,50,50,76,96,70,442
198,#030,#165,Ledyba,Bug,Flying,Red,Swarm,Early Bird,Rattled ,2,1.0,10.8,40,20,30,40,80,55,265
